#datetime	water.surf.Q.downstream-rs
1997-06-05T14:07:00	0.035637248
1997-06-05T14:08:00	0.035082031
1997-06-05T14:09:00	0.034521732
1997-06-05T14:10:00	0.033956919
1997-06-05T14:11:00	0.033388261
1997-06-05T14:12:00	0.032816242
1997-06-05T14:13:00	0.032241445
1997-06-05T14:14:00	0.031664386
1997-06-05T14:15:00	0.03108573
1997-06-05T14:16:00	0.030506054
1997-06-05T14:17:00	0.029925838
1997-06-05T14:18:00	0.029345296
1997-06-05T14:19:00	0.028764395
1997-06-05T14:20:00	0.028183008
1997-06-05T14:21:00	0.02760124
1997-06-05T14:22:00	0.027019283
1997-06-05T14:23:00	0.026437508
1997-06-05T14:24:00	0.025856445
1997-06-05T14:25:00	0.025276842
1997-06-05T14:26:00	0.024699483
1997-06-05T14:27:00	0.024125159
1997-06-05T14:28:00	0.023554672
1997-06-05T14:29:00	0.022988746
1997-06-05T14:30:00	0.022428084
1997-06-05T14:31:00	0.021873293
1997-06-05T14:32:00	0.021324897
1997-06-05T14:33:00	0.020783324
1997-06-05T14:34:00	0.020248922
1997-06-05T14:35:00	0.019721933
1997-06-05T14:36:00	0.019202568
1997-06-05T14:37:00	0.018690925
1997-06-05T14:38:00	0.018187087
1997-06-05T14:39:00	0.017691115
1997-06-05T14:40:00	0.017203065
1997-06-05T14:41:00	0.016722992
1997-06-05T14:42:00	0.016250961
1997-06-05T14:43:00	0.015787067
1997-06-05T14:44:00	0.015331422
1997-06-05T14:45:00	0.014884102
1997-06-05T14:46:00	0.0144452
1997-06-05T14:47:00	0.014014791
1997-06-05T14:48:00	0.013592924
1997-06-05T14:49:00	0.013179646
1997-06-05T14:50:00	0.012774964
1997-06-05T14:51:00	0.012378887
1997-06-05T14:52:00	0.011991396
1997-06-05T14:53:00	0.011612481
1997-06-05T14:54:00	0.011242105
1997-06-05T14:55:00	0.010880219
1997-06-05T14:56:00	0.01052679
1997-06-05T14:57:00	0.010181759
1997-06-05T14:58:00	0.0098450603
1997-06-05T14:59:00	0.0095166527
1997-06-05T15:00:00	0.0091964398
1997-06-05T15:01:00	0.0088843638
1997-06-05T15:02:00	0.0085803382
1997-06-05T15:03:00	0.0082842764
1997-06-05T15:04:00	0.0079960916
1997-06-05T15:05:00	0.0077156788
1997-06-05T15:06:00	0.0074429424
1997-06-05T15:07:00	0.0071777645
1997-06-05T15:08:00	0.0069200387
1997-06-05T15:09:00	0.0066696485
1997-06-05T15:10:00	0.0064264624
1997-06-05T15:11:00	0.0061903638
1997-06-05T15:12:00	0.0059612165
1997-06-05T15:13:00	0.0057388972
1997-06-05T15:14:00	0.0055232588
1997-06-05T15:15:00	0.0053141741
1997-06-05T15:16:00	0.0051115062
1997-06-05T15:17:00	0.0049151126
1997-06-05T15:18:00	0.0047248611
1997-06-05T15:19:00	0.0045406106
1997-06-05T15:20:00	0.0043622283
1997-06-05T15:21:00	0.0041895751
1997-06-05T15:22:00	0.004022514
1997-06-05T15:23:00	0.0038609174
1997-06-05T15:24:00	0.003704651
1997-06-05T15:25:00	0.0035535856
1997-06-05T15:26:00	0.0034075947
1997-06-05T15:27:00	0.0032665513
1997-06-05T15:28:00	0.00313033
1997-06-05T15:29:00	0.0029988126
1997-06-05T15:30:00	0.002871877
1997-06-05T15:31:00	0.0027494053
1997-06-05T15:32:00	0.0026312817
1997-06-05T15:33:00	0.0025173936
1997-06-05T15:34:00	0.0024076267
1997-06-05T15:35:00	0.0023018711
1997-06-05T15:36:00	0.0022000195
1997-06-05T15:37:00	0.0021019652
1997-06-05T15:38:00	0.0020076011
1997-06-05T15:39:00	0.0019168246
1997-06-05T15:40:00	0.0018295335
1997-06-05T15:41:00	0.0017456278
1997-06-05T15:42:00	0.0016650072
1997-06-05T15:43:00	0.0015875746
1997-06-05T15:44:00	0.0015132347
1997-06-05T15:45:00	0.0014418926
1997-06-05T15:46:00	0.0013734547
1997-06-05T15:47:00	0.0013078294
1997-06-05T15:48:00	0.0012449275
1997-06-05T15:49:00	0.0011846609
1997-06-05T15:50:00	0.0011269427
1997-06-05T15:51:00	0.0010716863
1997-06-05T15:52:00	0.0010188096
1997-06-05T15:53:00	0.00096823042
1997-06-05T15:54:00	0.00091986789
1997-06-05T15:55:00	0.00087364361
1997-06-05T15:56:00	0.00082948105
1997-06-05T15:57:00	0.00078730524
1997-06-05T15:58:00	0.00074704306
1997-06-05T15:59:00	0.00070862216
1997-06-05T16:00:00	0.00067197322
